16:50:37  [main] 	Initializing Control Panel
16:50:37  [main] 	Windows Version:  Enterprise  64-bit
16:50:37  [main] 	XAMPP Version: 7.3.8
16:50:37  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
16:50:37  [main] 	You are not running with administrator rights! This will work for
16:50:37  [main] 	most application stuff but whenever you do something with services
16:50:37  [main] 	there will be a security dialogue or things will break! So think 
16:50:37  [main] 	about running this application with administrator rights!
16:50:37  [main] 	XAMPP Installation Directory: "c:\xampp\"
16:50:37  [main] 	Checking for prerequisites
16:50:37  [main] 	All prerequisites found
16:50:37  [main] 	Initializing Modules
16:50:37  [main] 	Starting Check-Timer
16:50:37  [main] 	Control Panel Ready
20:08:21  [main] 	Deinitializing Modules
20:08:21  [main] 	Deinitializing Control Panel

